"","tFirst","tSecond","type"
"1",2011-07-27 12:14:00,2011-07-28 01:29:00,1
"2",2011-07-28 01:29:00,2011-07-28 10:00:00,2
"3",2011-07-28 10:00:00,2011-07-29 01:21:00,1
"4",2011-07-29 01:21:00,2011-07-29 10:05:00,2
"5",2011-07-29 10:05:00,2011-07-30 01:14:00,1
"6",2011-07-30 01:14:00,2011-07-30 10:19:00,2
"7",2011-07-30 10:19:00,2011-07-31 01:21:00,1
"8",2011-07-31 01:21:00,2011-07-31 10:20:00,2
"9",2011-07-31 10:20:00,2011-08-01 01:25:00,1
"10",2011-08-01 01:25:00,2011-08-01 10:19:00,2
"11",2011-08-01 10:19:00,2011-08-02 01:23:00,1
"12",2011-08-02 01:23:00,2011-08-02 10:19:00,2
"13",2011-08-02 10:19:00,2011-08-03 01:16:00,1
"14",2011-08-03 01:16:00,2011-08-03 10:44:00,2
"15",2011-08-03 10:44:00,2011-08-04 01:17:00,1
"16",2011-08-04 01:17:00,2011-08-04 10:26:00,2
"17",2011-08-04 10:26:00,2011-08-05 01:11:00,1
"18",2011-08-05 01:11:00,2011-08-05 10:26:00,2
"19",2011-08-05 10:26:00,2011-08-06 01:10:00,1
"20",2011-08-06 01:10:00,2011-08-06 10:28:00,2
"21",2011-08-06 10:28:00,2011-08-07 01:10:00,1
"22",2011-08-07 01:10:00,2011-08-07 10:33:00,2
"23",2011-08-07 10:33:00,2011-08-08 01:11:00,1
"24",2011-08-08 01:11:00,2011-08-08 10:27:00,2
"25",2011-08-08 10:27:00,2011-08-09 01:08:00,1
"26",2011-08-09 01:08:00,2011-08-09 10:33:00,2
"27",2011-08-09 10:33:00,2011-08-10 01:08:00,1
"28",2011-08-10 01:08:00,2011-08-10 10:27:00,2
"29",2011-08-10 10:27:00,2011-08-11 01:07:00,1
"30",2011-08-11 01:07:00,2011-08-11 10:33:00,2
"31",2011-08-11 10:33:00,2011-08-12 01:10:00,1
"32",2011-08-12 01:10:00,2011-08-12 10:31:00,2
"33",2011-08-12 10:31:00,2011-08-13 01:02:00,1
"34",2011-08-13 01:02:00,2011-08-13 10:37:00,2
"35",2011-08-13 10:37:00,2011-08-14 01:09:00,1
"36",2011-08-14 01:09:00,2011-08-14 10:33:00,2
"37",2011-08-14 10:33:00,2011-08-15 00:53:00,1
"38",2011-08-15 00:53:00,2011-08-15 10:41:00,2
"39",2011-08-15 10:41:00,2011-08-16 01:04:00,1
"40",2011-08-16 01:04:00,2011-08-16 10:35:00,2
"41",2011-08-16 10:35:00,2011-08-17 00:59:00,1
"42",2011-08-17 00:59:00,2011-08-17 10:40:00,2
"43",2011-08-17 10:40:00,2011-08-18 01:00:00,1
"44",2011-08-18 01:00:00,2011-08-18 10:38:00,2
"45",2011-08-18 10:38:00,2011-08-19 00:50:00,1
"46",2011-08-19 00:50:00,2011-08-19 10:41:00,2
"47",2011-08-19 10:41:00,2011-08-20 00:53:00,1
"48",2011-08-20 00:53:00,2011-08-20 10:40:00,2
"49",2011-08-20 10:40:00,2011-08-21 00:54:00,1
"50",2011-08-21 00:54:00,2011-08-21 10:43:00,2
"51",2011-08-21 10:43:00,2011-08-22 00:50:00,1
"52",2011-08-22 00:50:00,2011-08-22 10:44:00,2
"53",2011-08-22 10:44:00,2011-08-23 00:50:00,1
"54",2011-08-23 00:50:00,2011-08-23 10:47:00,2
"55",2011-08-23 10:47:00,2011-08-24 00:49:00,1
"56",2011-08-24 00:49:00,2011-08-24 10:47:00,2
"57",2011-08-24 10:47:00,2011-08-25 00:48:00,1
"58",2011-08-25 00:48:00,2011-08-25 10:47:00,2
"59",2011-08-25 10:47:00,2011-08-26 00:45:00,1
"60",2011-08-26 00:45:00,2011-08-26 10:48:00,2
"61",2011-08-26 10:48:00,2011-08-27 00:42:00,1
"62",2011-08-27 00:42:00,2011-08-27 10:53:00,2
"63",2011-08-27 10:53:00,2011-08-28 00:45:00,1
"64",2011-08-28 00:45:00,2011-08-28 10:55:00,2
"65",2011-08-28 10:55:00,2011-08-29 00:38:00,1
"66",2011-08-29 00:38:00,2011-08-29 10:55:00,2
"67",2011-08-29 10:55:00,2011-08-30 00:34:00,1
"68",2011-08-30 00:34:00,2011-08-30 10:49:00,2
"69",2011-08-30 10:49:00,2011-08-31 00:32:00,1
"70",2011-08-31 00:32:00,2011-08-31 10:55:00,2
"71",2011-08-31 10:55:00,2011-09-01 00:38:00,1
"72",2011-09-01 00:38:00,2011-09-01 10:56:00,2
"73",2011-09-01 10:56:00,2011-09-02 00:41:00,1
"74",2011-09-02 00:41:00,2011-09-02 10:55:00,2
"75",2011-09-02 10:55:00,2011-09-03 00:33:00,1
"76",2011-09-03 00:33:00,2011-09-03 10:59:00,2
"77",2011-09-03 10:59:00,2011-09-04 00:33:00,1
"78",2011-09-04 00:33:00,2011-09-04 11:04:00,2
"79",2011-09-04 11:04:00,2011-09-05 00:27:00,1
