Species,Species_Code,Capture_Date,Sex,Age,USGS_BandNum,Mass_g,Fat,Molt,WingChord_mm,TailLength,Tarsus,Recapture,MoltLimit
Common Yellowthroat,COYE,8/31/2014,M,HY,2710-54354,9.9,0.5,TB,53,,20.2,No,NO
Gray Catbird,GRCA,8/31/2014,U,HY,2331-42000,37.4,0.5,,90,92,26.7,No,NO
Gray Catbird,GRCA,8/31/2014,U,HY,2641-96803,36.2,0.5,Head/Body,90,96,27.2,No,NO
Indigo Bunting,INBU,8/31/2014,U,U,NB,,,,,,,No,NO
Indigo Bunting,INBU,8/31/2014,U,U,NB,,,,,,,No,NO
Least Flycatcher,LEFL,8/31/2014,U,HY,2710-54353,,,,64,53,,No,NO
Orchard Oriole,OROR,8/31/2014,U,U,NB,,,,,,,No,NO
Orchard Oriole,OROR,8/31/2014,F,AHY,2571-89954,24.2,2,No,78.5,67,20.7,No,NO
Yellow-Breasted Chat,YBCH,8/31/2014,M,ASY,2641-96802,29.2,1,,79,79,25.6,No,NO
Ruby-throated Hummingbird,RTHU,9/2/2014,U,U,NB,,,,,,,No,NO
American Goldfinch,AMGO,9/2/2014,M,AHY,2590-33581,,,,71,39,,No,NO
American Goldfinch,AMGO,9/2/2014,F,AHY,2710-54355,13.1,1,,68,42,,No,NO
Carolina Wren,CAWR,9/2/2014,U,U,2571-89955,21,1,Yes,,,21.75,No,NO
Gray Catbird,GRCA,9/2/2014,U,HY,2641-96806,,,,89,90,26.9,No,NO
Gray Catbird,GRCA,9/2/2014,U,HY,2641-96007,38.1,,,90,102,28.1,No,NO
Gray Catbird,GRCA,9/2/2014,U,HY,2641-96804,36.1,0.5,B,89,97,26.5,No,NO
Gray Catbird,GRCA,9/2/2014,U,HY,2641-96805,35.3,0.5,,88.5,89,28.7,No,NO
Gray Catbird,GRCA,9/2/2014,F,AHY,2641-96808,,,,93,91,33.76,No,NO
Worm-Eating Warbler,WEWA,9/2/2014,U,HY,2710-54356,,,,66,46,,No,NO
Yellow-Breasted Chat,YBCH,9/2/2014,F,AHY,2571-89953,31,,Yes,77,,26.3,No,NO
