grid_code	GSP_Deuterium	X	Y
-684700	-68.47	-67.108079	48.950316
-690300	-69.03	-66.774746	48.950316
-698600	-69.86	-66.441413	48.950316
-681000	-68.10	-86.10806	48.616983
-687400	-68.74	-85.774727	48.616983
-691000	-69.10	-85.441394	48.616983
-689700	-68.97	-85.108061	48.616983
-686600	-68.66	-84.774728	48.616983
-683100	-68.31	-84.441395	48.616983
-681100	-68.11	-84.108062	48.616983
-681900	-68.19	-83.774729	48.616983
-677300	-67.73	-83.441396	48.616983
-675899	-67.59	-83.108063	48.616983
-673500	-67.35	-82.77473	48.616983
-666500	-66.65	-71.108075	48.616983
-684800	-68.48	-70.774742	48.616983
-692500	-69.25	-70.441409	48.616983
-692000	-69.20	-70.108076	48.616983
-692300	-69.23	-69.774743	48.616983
-667800	-66.78	-68.108078	48.616983
-683800	-68.38	-67.774745	48.616983
-676100	-67.61	-67.441412	48.616983
-669700	-66.97	-67.108079	48.616983
-680400	-68.04	-66.774746	48.616983
-679700	-67.97	-66.441413	48.616983
-675300	-67.53	-66.10808	48.616983
-657000	-65.70	-86.10806	48.28365
-674900	-67.49	-85.774727	48.28365
-678100	-67.81	-85.441394	48.28365
-673700	-67.37	-85.108061	48.28365
-668600	-66.86	-84.774728	48.28365
-666200	-66.62	-84.441395	48.28365
-666400	-66.64	-84.108062	48.28365
-673300	-67.33	-83.774729	48.28365
-671200	-67.12	-83.441396	48.28365
-667300	-66.73	-83.108063	48.28365
-665300	-66.53	-82.77473	48.28365
-661800	-66.18	-82.441397	48.28365
-660600	-66.06	-82.108064	48.28365
-655300	-65.53	-81.774731	48.28365
-654900	-65.49	-81.441398	48.28365
-655700	-65.57	-81.108065	48.28365
-656400	-65.64	-80.774732	48.28365
-657699	-65.77	-80.441399	48.28365
-658900	-65.89	-80.108066	48.28365
-660400	-66.04	-79.774733	48.28365
-659800	-65.98	-79.4414	48.28365
-685800	-68.58	-71.774741	48.28365
-690100	-69.01	-71.441408	48.28365
-683200	-68.32	-71.108075	48.28365
-676400	-67.64	-70.774742	48.28365
-686200	-68.62	-70.441409	48.28365
-662200	-66.22	-70.108076	48.28365
-650100	-65.01	-69.774743	48.28365
-663000	-66.30	-68.774744	48.28365
-669400	-66.94	-68.441411	48.28365
-672100	-67.21	-68.108078	48.28365
-677800	-67.78	-67.774745	48.28365
-671100	-67.11	-67.441412	48.28365
-665500	-66.55	-67.108079	48.28365
-666500	-66.65	-66.774746	48.28365
-650500	-65.05	-66.441413	48.28365
-648600	-64.86	-66.10808	48.28365
-641600	-64.16	-85.774727	47.950317
-636800	-63.68	-85.441394	47.950317
-649900	-64.99	-84.774728	47.950317
-650600	-65.06	-84.441395	47.950317
-657400	-65.74	-84.108062	47.950317
-660400	-66.04	-83.774729	47.950317
-659100	-65.91	-83.441396	47.950317
-657600	-65.76	-83.108063	47.950317
-656800	-65.68	-82.77473	47.950317
-651400	-65.14	-82.441397	47.950317
-650800	-65.08	-82.108064	47.950317
-649100	-64.91	-81.774731	47.950317
-647500	-64.75	-81.441398	47.950317
-653300	-65.33	-81.108065	47.950317
-655000	-65.50	-80.774732	47.950317
-647800	-64.78	-80.441399	47.950317
-646100	-64.61	-80.108066	47.950317
-641300	-64.13	-79.774733	47.950317
-648100	-64.81	-79.4414	47.950317
-649800	-64.98	-79.108067	47.950317
-651200	-65.12	-78.774734	47.950317
-655100	-65.51	-78.441401	47.950317
-656600	-65.66	-78.108068	47.950317
-681500	-68.15	-72.108074	47.950317
-693300	-69.33	-71.774741	47.950317
-698700	-69.87	-71.441408	47.950317
-708000	-70.80	-71.108075	47.950317
-701200	-70.12	-70.774742	47.950317
-688900	-68.89	-70.441409	47.950317
-670700	-67.07	-70.108076	47.950317
-639700	-63.97	-69.44141	47.950317
-660700	-66.07	-69.108077	47.950317
-653500	-65.35	-68.774744	47.950317
-666100	-66.61	-68.441411	47.950317
-671100	-67.11	-68.108078	47.950317
-663800	-66.38	-67.774745	47.950317
-652600	-65.26	-67.441412	47.950317
-647400	-64.74	-67.108079	47.950317
-638100	-63.81	-66.774746	47.950317
-647600	-64.76	-66.441413	47.950317
-717900	-71.79	-93.441386	47.616984
-717800	-71.78	-93.108053	47.616984
-713500	-71.35	-92.77472	47.616984
-710899	-71.09	-92.441387	47.616984
-711200	-71.12	-92.108054	47.616984
-714200	-71.42	-91.774721	47.616984
-715000	-71.50	-91.441388	47.616984
-689900	-68.99	-91.108055	47.616984
-660899	-66.09	-90.774722	47.616984
-629800	-62.98	-84.774728	47.616984
-636400	-63.64	-84.441395	47.616984
-642000	-64.20	-84.108062	47.616984
-646000	-64.60	-83.774729	47.616984
-646100	-64.61	-83.441396	47.616984
-645600	-64.56	-83.108063	47.616984
-646000	-64.60	-82.77473	47.616984
-644200	-64.42	-82.441397	47.616984
-643300	-64.33	-82.108064	47.616984
-637700	-63.77	-81.774731	47.616984
-640199	-64.02	-81.441398	47.616984
-645199	-64.52	-81.108065	47.616984
-649500	-64.95	-80.774732	47.616984
-647400	-64.74	-80.441399	47.616984
-637200	-63.72	-80.108066	47.616984
-632800	-63.28	-79.774733	47.616984
-629800	-62.98	-79.4414	47.616984
-638200	-63.82	-79.108067	47.616984
-642100	-64.21	-78.774734	47.616984
-647100	-64.71	-78.441401	47.616984
-649400	-64.94	-78.108068	47.616984
-650800	-65.08	-77.774735	47.616984
-652400	-65.24	-77.441402	47.616984
-655700	-65.57	-77.108069	47.616984
-665899	-66.59	-72.441407	47.616984
-674200	-67.42	-72.108074	47.616984
-678000	-67.80	-71.774741	47.616984
-691900	-69.19	-71.441408	47.616984
-701000	-70.10	-71.108075	47.616984
-683700	-68.37	-70.774742	47.616984
-641900	-64.19	-70.441409	47.616984
-634500	-63.45	-69.774743	47.616984
-660300	-66.03	-69.44141	47.616984
-652400	-65.24	-69.108077	47.616984
-646900	-64.69	-68.774744	47.616984
-646100	-64.61	-68.441411	47.616984
-648399	-64.84	-68.108078	47.616984
-641900	-64.19	-67.774745	47.616984
-640700	-64.07	-67.441412	47.616984
-640700	-64.07	-67.108079	47.616984
-646000	-64.60	-66.774746	47.616984
-649300	-64.93	-66.441413	47.616984
-634800	-63.48	-66.10808	47.616984
-639100	-63.91	-65.774747	47.616984
-636300	-63.63	-65.441414	47.616984
-627700	-62.77	-65.108081	47.616984
-711700	-71.17	-94.108052	47.283651
-708700	-70.87	-93.774719	47.283651
-702600	-70.26	-93.441386	47.283651
-700000	-70.00	-93.108053	47.283651
-695400	-69.54	-92.77472	47.283651
-694900	-69.49	-92.441387	47.283651
-696300	-69.63	-92.108054	47.283651
-689600	-68.96	-91.774721	47.283651
-661900	-66.19	-91.441388	47.283651
-640700	-64.07	-88.441391	47.283651
-624100	-62.41	-88.108058	47.283651
-623500	-62.35	-84.441395	47.283651
-629100	-62.91	-84.108062	47.283651
-633100	-63.31	-83.774729	47.283651
-632800	-63.28	-83.441396	47.283651
-633000	-63.30	-83.108063	47.283651
-633200	-63.32	-82.77473	47.283651
-633800	-63.38	-82.441397	47.283651
-634600	-63.46	-82.108064	47.283651
-635200	-63.52	-81.774731	47.283651
-636200	-63.62	-81.441398	47.283651
-635800	-63.58	-81.108065	47.283651
-636200	-63.62	-80.774732	47.283651
-630500	-63.05	-80.441399	47.283651
-629000	-62.90	-80.108066	47.283651
-631300	-63.13	-79.774733	47.283651
-625600	-62.56	-79.4414	47.283651
-630400	-63.04	-79.108067	47.283651
