"","tFirst","tSecond","type"
"1",2011-06-10 08:48:00,2011-06-11 00:25:00,1
"2",2011-06-11 00:25:00,2011-06-11 09:05:00,2
"3",2011-06-11 09:05:00,2011-06-12 00:10:00,1
"4",2011-06-12 00:10:00,2011-06-12 09:06:00,2
"5",2011-06-12 09:06:00,2011-06-13 00:31:00,1
"6",2011-06-13 00:31:00,2011-06-13 08:58:00,2
"7",2011-06-13 08:58:00,2011-06-14 00:02:00,1
"8",2011-06-14 00:02:00,2011-06-14 08:59:00,2
"9",2011-06-14 08:59:00,2011-06-15 00:38:00,1
"10",2011-06-15 00:38:00,2011-06-15 08:39:00,2
"11",2011-06-15 08:39:00,2011-06-16 00:44:00,1
"12",2011-06-16 00:44:00,2011-06-16 08:53:00,2
"13",2011-06-16 08:53:00,2011-06-17 00:36:00,1
"14",2011-06-17 00:36:00,2011-06-17 08:52:00,2
"15",2011-06-17 08:52:00,2011-06-18 00:25:00,1
"16",2011-06-18 00:25:00,2011-06-18 08:53:00,2
"17",2011-06-18 08:53:00,2011-06-19 00:40:00,1
"18",2011-06-19 00:40:00,2011-06-19 08:50:00,2
"19",2011-06-19 08:50:00,2011-06-20 00:43:00,1
"20",2011-06-20 00:43:00,2011-06-20 08:51:12,2
"21",2011-06-20 08:51:12,2011-06-21 00:46:00,1
"22",2011-06-21 00:46:00,2011-06-21 08:59:12,2
"23",2011-06-21 08:59:12,2011-06-22 00:49:00,1
"24",2011-06-22 00:49:00,2011-06-22 09:03:12,2
"25",2011-06-22 09:03:12,2011-06-23 00:30:00,1
"26",2011-06-23 00:30:00,2011-06-23 09:02:00,2
"27",2011-06-23 09:02:00,2011-06-24 00:20:00,1
"28",2011-06-24 00:20:00,2011-06-24 09:02:00,2
"29",2011-06-24 09:02:00,2011-06-25 00:12:00,1
"30",2011-06-25 00:12:00,2011-06-25 08:59:12,2
"31",2011-06-25 08:59:12,2011-06-26 00:44:00,1
"32",2011-06-26 00:44:00,2011-06-26 08:51:00,2
"33",2011-06-26 08:51:00,2011-06-27 00:38:00,1
