SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
TAKOMA PARK,R,1272-42366,,AHY,,M,,,,,,,
TAKOMA PARK,R,1841-58726,X/BKBU,AHY,,M,87,93,28.3,12.2,5,4.9,
TAKOMA PARK,R,1891-87433,X/PBU,AHY,1,M,92,100,27.2,,4.7,4.9,33.8
TAKOMA PARK,R,1951-40968,GX/R,AHY,,M,91,95,27.2,12.1,4.4,5.3,33.6
SILVER SPRING,R,1951-41103,X/YO,AHY,,M,90,94,27.4,12.1,4.6,5,36.1
TAKOMA PARK,R,1991-20945,RX/YW,AHY,,M,90,88,28.2,11.6,4.2,5.4,34.8
SLIGO CREEK,R,1991-20948,YX/BUR,AHY,,F,88,92,28.2,11.7,4.6,5.1,36.2
SLIGO CREEK,R,1991-20948,BUR/YX,AHY,,F,89.5,92,28.3,11.8,4.2,5.1,40.2
TAKOMA PARK,N,1991-21158,PK/X,AHY,1,M,92,,26.5,,,,34.2
TAKOMA PARK,N,1991-21159,G/X,SY,LT,F,86,92,26.6,,4.5,4.8,37.5
SLIGO CREEK,N,1991-21160,BK/PKX,AHY,1,F,87,91,25.9,,4.3,4.5,35
SLIGO CREEK,N,1991-21161,PK/RX,AHY,1,M,91,96,28.5,,4.2,4.8,37.9
SILVER SPRING,N,1991-21166,PK/PKX,AHY,1,F,90,94,27.5,,4.5,4,
SILVER SPRING,N,1991-21169,X/PKBU,SY,LT,M,83,85,26.1,,3.9,4.5,33.7
SLIGO CREEK,N,1991-21170,PK/XO,AHY,1,F,90,96,26.8,,4.7,4.8,38.4
SLIGO CREEK,N,1991-21175,XP/PK,AHY,1,M,93,102,27.9,,4.5,4.8,35.1
SLIGO CREEK,N,1991-21176,BU/PKX or PKX/BU,AHY,1,M,94,101,26.9,,4.7,5.3,37.9
SLIGO CREEK,R,1991-21176,PKX/BU,AHY,,M,94,101,27.1,,5.2,5.4,36.1
SLIGO CREEK,N,1991-21177,PK/WX,AHY,1,M,92,96,26.4,,4.1,4.9,34.1
SLIGO CREEK,N,1991-21178,G/YX,AHY,1,F,85,89,26.1,,4,4.7,38.8
TAKOMA PARK,N,1991-21181,WR/XR,AHY,1,F,88,95,28.3,,4.2,4.9,38.2
TAKOMA PARK,N,1991-21182,PKX/PK,AHY,1,M,89,92,26.5,,4.2,4.9,33.6
TAKOMA PARK,N,1991-21185,X/BUO,AHY,1,M,92,97,27.9,,4.6,5,35.8
SLIGO CREEK,N,1991-21186,PBU/X,AHY,1,F,89,95,27,,4.3,4.7,33.6
SLIGO CREEK,N,1991-21190,BK/RX,AHY,1,M,88,96,23.3,,4.3,5.2,
CHEVY CHASE,N,1991-21191,PG/X,AHY,1,M,87,93,27.8,,4.2,4.8,35.4
CHEVY CHASE,N,1991-21195,G/BKX,AHY,1,F,85,91,27.6,,4.4,4.9,35.7
CHEVY CHASE,N,1991-21196,/X,AHY,1,M,91,97,26.7,,4.2,5.4,33.8
CHEVY CHASE,N,1991-21197,/X,SY,LT,F,84,91,26.7,,4.2,4.7,35.7
TAKOMA PARK,R,1991-21208,WR/XY,AHY,1,M,91,106,28.4,,4.2,4.8,34.7
TAKOMA PARK,R,1991-21211,YBU/XY,AHY,1,F,87,95,26.7,,4.8,5.3,37.5
SLIGO CREEK,R,1991-21225,PW/GX,SY,,F,90,96,28.5,11.6,4.6,5.3,34.5
TAKOMA PARK,R,1991-46123,XBK/G,AHY,,M,90,97,27.4,,4.6,4.8,
TAKOMA PARK,R,2211-06475,BUW/XBU,AHY,1,M,91,97,26.8,,4.1,4.7,36.3
SILVER SPRING,R,2251-80505,GG/XBK,AHY,1,M,92,97,27.9,,4.2,5.2,34.9
SILVER SPRING,R,2251-80505,GG/XBK,AHY,,M,93,101,28,,4.2,5.4,35.8
WHEATON,R,2301-55074,PKW/YX,AHY,,M,,,,,,,
