bird,Sp,Mo,Day,Yr,Hr,Min,Fix,OBSLoC,Y,X,RawBear,AdjBear,Bars,Sig,notes,
2,Willisornis poecilinotus,6,7,2011,10,26,1,J11,9729703,192061,102,117,4.2,S,same AS that pithys is at - within 50m of this Wp,
2,Willisornis poecilinotus,6,7,2011,10,30,1,IJ11,9729702,192109,24,39,4.2,M,,
2,Willisornis poecilinotus,6,7,2011,10,34,1,I11,9729708,192166,338,353,4.2,M,,
2,Willisornis poecilinotus,6,7,2011,10,50,2,I11,9729708,192166,322,337,4.2,S,,
2,Willisornis poecilinotus,6,7,2011,10,54,2,IJ11,9729702,192109,3,18,4.2,S,,
2,Willisornis poecilinotus,6,7,2011,10,57,2,J11,9729703,192061,70,85,4.4,S,,
2,Willisornis poecilinotus,6,8,2011,14,28,3,IJ11,9729702,192109,245,260,4.2,M,,
2,Willisornis poecilinotus,6,8,2011,14,31,3,J11,9729703,192061,204,219,4.2,S,,
2,Willisornis poecilinotus,6,8,2011,14,34,3,J10.7,9729671,192068,161,176,4.2,S,Just north of dropoff,
2,Willisornis poecilinotus,6,8,2011,14,53,E3,IJ11,9729702,192109,262,277,3,S,,
2,Willisornis poecilinotus,6,8,2011,14,57,E3,J11,9729703,192061,212,227,2.5,S,J10.6=54 steps south of J11,
2,Willisornis poecilinotus,6,8,2011,15,0,E3,J10.6,9729664,192048,252,267,2,S,,
2,Willisornis poecilinotus,6,8,2011,15,23,E4,J11,9729703,192061,192,207,3,M,Bird may have moved between first and second points,
2,Willisornis poecilinotus,6,8,2011,15,26,E4,J10.6,9729664,192048,235,250,2,S,,
2,Willisornis poecilinotus,6,8,2011,15,30,E4,JL11,9729704,192008,142,157,3,S,Down hill--no trail,
2,Willisornis poecilinotus,6,8,2011,16,22,,J11.5,9729750,192063,182,197,3,M,,
2,Willisornis poecilinotus,6,8,2011,16,26,E5,J11,9729703,192061,168,183,2,M,,
2,Willisornis poecilinotus,6,8,2011,16,28,E5,J10.6,9729664,192048,108,123,2,M,,
2,Willisornis poecilinotus,6,8,2011,16,32,E5,IJ11,9729702,192109,227,242,2,M,,
2,Willisornis poecilinotus,6,8,2011,16,48,E6,J11,9729703,192061,182,197,3,S,,
2,Willisornis poecilinotus,6,8,2011,16,52,E6,J10.6,9729664,192048,158,173,2,M,,
2,Willisornis poecilinotus,6,8,2011,16,55,E6,IJ11,9729702,192109,204,219,3,S,,
2,Willisornis poecilinotus,6,8,2011,16,59,E6,I11,9729708,192166,218,233,3,I,,
2,Willisornis poecilinotus,6,8,2011,17,18,E7,J11,9729703,192061,196,211,3,S,,
2,Willisornis poecilinotus,6,8,2011,17,21,E7,J10.6,9729664,192048,134,149,3,M,,
2,Willisornis poecilinotus,6,8,2011,17,25,E7,IJ11,9729702,192109,229,244,3,M,,
