band_num,band_age,Color Band,d_banded,tail,tars,mass,wing,sex,fm_site,species
244113737,AHY,"pk/a,y",7/5/09,,22.52,21.3,65,M,Wiser,SOSP
241137304,AHY,"a/pk,pk",5/22/09,,27.56,35.9,86,M,Barnes,GRCA
226138348,AHY,"bu,w/a",7/27/07,,21.145,22.4,65,M,Assmann,SOSP
246022953,AHY,"a/o,r",6/20/08,,16.64666667,10.06666667,62.5,M,Beal,CACH
259083174,HY,"o,bk/a",7/13/10,,15.72,10.1,60,U,Hamill,CACH
242111549,AHY,"a/bk,r",7/13/10,,23.87,38.8,92,M,Beal,NOCA
242111751,AHY,"pu,a/y",6/25/10,,25.94,43.3,93,M,Brown-Annapolis,NOCA
244196416,AHY,"w/a,r",6/18/10,,21.42,21,62,M,Myers,SOSP
259083138,AHY,"Bu,R/a",6/16/10,,17.32,10.5,52,M,Marra-New,HOWR
242111709,AHY,"bu/a,w",6/5/10,,27.73,35.3,92.5,M,Stewart,GRCA
230156981,ASY,"P/A,Bk",5/20/10,,27.73,35.2,93,M,Baines,GRCA
234130001,AHY,"PK/O, AL",6/2/08,,21.915,23.35,61.5,F,Wiser,SOSP
241137244,AHY,"pk/a,bk",5/29/09,,26.55,34.1,83,M,"Campbell, R.",GRCA
199146121,AHY,"R,A/O",5/23/07,,24.4,44.6,91,M,"Campbell, R.",NOCA
259082407,AHY,"pk,a",5/30/09,,15.77,9.3,59.5,F,Gecan,CACH
244114108,AHY,"PK,A",5/30/09,,,19.8,63,M,Gecan,SOSP
244114203,AHY,"a/r,bu",6/23/09,,21.495,20.35,61.25,M,Vongsathorn,CARW
199121138,AHY,"o,w/a",7/2/07,,24.625,42.05,91.5,F,Newberry,NOCA
243029212,AHY,"a,r/w",5/30/05,,16.3,10,63,M,Frey,CACH
225180364,AHY,"w/a,y",7/2/10,,21.6,20.4,68,M,Gecan,SOSP
259082499,AHY,"r,a/o",6/19/10,,16.345,10.05,60,M,Newberry,CACH
242111431,AHY,"y/a,g",6/19/10,,24.74,39.5,93,M,Newberry,NOCA
230156996,AHY,"bu/a,y",5/29/10,,23.43,42.1,90,F,Buising,NOCA
241137989,AHY,"bu/a,bu",5/10/10,,26.83,40.3,84,M,Vongsathorn,GRCA
241137988,AHY,"bk/w,a",5/10/10,,24.15,42.6,93,M,Vongsathorn,NOCA
241137987,AHY,"o,a/y",5/10/10,,23.84,,91.5,F,Vongsathorn,NOCA
225180329,AHY,"a/y,y",5/10/10,,21.29,16.6,59.5,F,Vongsathorn,CARW
225180327,AHY,"pk,a/pk",5/10/10,,21.37,21,66,M,Vongsathorn,SOSP
230156601,AHY,"O,a/Y",5/28/08,,23.91,39.8,90,F,Perry,NOCA
242111769,HY,"o/a,bk",7/2/10,,24.25,37.9,85,U,Barbour,NOCA
242111764,HY,"w/w,a",7/2/10,,24.89,42.4,90,U,Barbour,NOCA
225180366,AHY,"a/g,y",7/2/10,,21.3,20.2,65,M,Gecan,SOSP
127243126,AHY,"pk,a/y",7/1/10,,32.41,73.7,118,F,RCP - Edzoocation,AMRO
242111444,AHY,"a,o/w",6/30/10,,24.21,46.4,92,F,Morrissey,NOCA
127243052,AHY,"w,bk/a",6/28/10,,33.36,79,129,M,"Williams, Teresa",AMRO
242111728,AHY,"G/R,A",6/14/10,,28.67,36.1,88,M,Assmann,GRCA
